date,day_of_week,month
2024-01-01,Monday,11
2024-01-02,Tuesday,11
2024-01-03,Wednesday,11
2024-01-04,Thursday,11
2024-01-05,Friday,11
2024-01-06,Saturday,11
2024-01-07,Sunday,11
2024-01-08,Monday,11
2024-01-09,Tuesday,11
2024-01-10,Wednesday,11
2024-01-11,Thursday,11
2024-01-12,Friday,11
2024-01-13,Saturday,11
2024-01-14,Sunday,11
2024-01-15,Monday,11
2024-01-16,Tuesday,11
2024-01-17,Wednesday,11
2024-01-18,Thursday,11
2024-01-19,Friday,11
2024-01-20,Saturday,11
2024-01-21,Sunday,11
2024-01-22,Monday,11
2024-01-23,Tuesday,11
2024-01-24,Wednesday,11
2024-01-25,Thursday,11
2024-01-26,Friday,11
2024-01-27,Saturday,11
2024-01-28,Sunday,11
2024-01-29,Monday,11
2024-01-30,Tuesday,11
2024-01-31,Wednesday,11
2024-02-01,Thursday,12
2024-02-02,Friday,12
2024-02-03,Saturday,12
2024-02-04,Sunday,12
2024-02-05,Monday,12
2024-02-06,Tuesday,12
2024-02-07,Wednesday,12
2024-02-08,Thursday,12
2024-02-09,Friday,12
2024-02-10,Saturday,12
2024-02-11,Sunday,12
2024-02-12,Monday,12
2024-02-13,Tuesday,12
2024-02-14,Wednesday,12
2024-02-15,Thursday,12
2024-02-16,Friday,12
2024-02-17,Saturday,12
